0,1,2,3,4
Nintendo EAD  ,MX,North America,14.88102,-92.27582
Bullet Proof Software  ,GB,Europe,51.47722,-0.06931
Nintendo R&D1;  ,DE,Europe,49.00519,11.92915
Rockstar North  ,AU,Australia,-27.09797,152.86161
Nintendo SDD  ,RU,Europe,45.92702,47.66549
Nintendo R&D2;  ,DE,Europe,49.00547,11.92929
Game Freak  ,US,North America,39.28771,-80.96327
Infinity Ward  ,US,North America,40.073607,-105.511786
Treyarch  ,GB,Europe,52.7868,-2.08532
DMA Design  ,US,North America,42.34446,-71.03432
Sledgehammer Games  ,US,North America,27.04974,-82.08837
Bungie Software  ,DE,Europe,50.80233,8.76878
Good Science Studio  ,US,North America,39.31686,-81.52497
Polyphony Digital  ,AU,Australia,-33.91732,151.19338
Nintendo EAD / Retro Studios  ,FR,Europe,43.66618,7.19591
Project Sora  ,MX,North America,29.06799,-110.95473
Nintendo EAD Tokyo  ,FR,Europe,43.40837,4.82975
Nintendo  ,DE,Europe,49.02542,11.96084
EA Canada  ,US,North America,37.605598,-82.324402
Ubisoft Paris  ,US,North America,38.20954,-84.25226
Nintendo EAD  ,MX,North America,14.88102,-92.27582
Bullet Proof Software  ,GB,Europe,51.47722,-0.06931
Nintendo R&D1;  ,DE,Europe,49.00519,11.92915
Rockstar North  ,AU,Australia,-27.09797,152.86161
Nintendo SDD  ,RU,Europe,45.92702,47.66549
Nintendo R&D2;  ,DE,Europe,49.00547,11.92929
Game Freak  ,US,North America,39.28771,-80.96327
Infinity Ward  ,US,North America,38.485298,-75.478104
Treyarch  ,GB,Europe,52.7868,-2.08532
DMA Design  ,US,North America,42.34446,-71.03432
Sledgehammer Games  ,US,North America,27.04974,-82.08837
Bungie Software  ,DE,Europe,50.80233,8.76878
Good Science Studio  ,US,North America,39.31686,-81.52497
Polyphony Digital  ,AU,Australia,-33.91732,151.19338
Nintendo EAD / Retro Studios  ,FR,Europe,43.66618,7.19591
Project Sora  ,MX,North America,29.06799,-110.95473
Nintendo EAD Tokyo  ,FR,Europe,43.40837,4.82975
Nintendo  ,DE,Europe,49.02542,11.96084
EA Canada  ,US,North America,38.354198,-97.112503
Ubisoft Paris  ,US,North America,38.20954,-84.25226
Nintendo EAD  ,MX,North America,14.88102,-92.27582
Bullet Proof Software  ,GB,Europe,51.47722,-0.06931
Nintendo R&D1;  ,DE,Europe,49.00519,11.92915
Rockstar North  ,AU,Australia,-27.09797,152.86161
Nintendo SDD  ,RU,Europe,45.92702,47.66549
Nintendo R&D2;  ,DE,Europe,49.00547,11.92929
Game Freak  ,US,North America,39.28771,-80.96327
Infinity Ward  ,US,North America,38.246399,-81.388298
Treyarch  ,GB,Europe,52.7868,-2.08532
DMA Design  ,US,North America,42.34446,-71.03432
Sledgehammer Games  ,US,North America,27.04974,-82.08837
Bungie Software  ,DE,Europe,50.80233,8.76878
Good Science Studio  ,US,North America,39.31686,-81.52497
Polyphony Digital  ,AU,Australia,-33.91732,151.19338
Nintendo EAD / Retro Studios  ,FR,Europe,43.66618,7.19591
Project Sora  ,MX,North America,29.06799,-110.95473
Nintendo EAD Tokyo  ,FR,Europe,43.40837,4.82975
Nintendo  ,DE,Europe,49.02542,11.96084
EA Canada  ,US,North America,38.354198,-97.112503
Ubisoft Paris  ,US,North America,35.292105,-93.729922
Naughty Dog  ,IE,Europe,53.01221,-7.8399
343 Industries  ,US,North America,39.86287,-84.89034
4J Studios  ,GB,Europe,54.51446,-6.04079
Hudson Soft  ,US,North America,39.035,-84.56986
SquareSoft  ,AU,Australia,-38.19111,142.53157
Sega  ,US,North America,42.026307,-87.754692
Bethesda Game Studios  ,NO,Europe,59.21896,10.92887
Atari  ,US,North America,41.501555,-94.643434
EA Vancouver  ,US,North America,45.631061,-122.671567
Rare Ltd.  ,FR,Europe,45.06879,5.76713
"Nd Cube Co., Ltd.  ",US,North America,37.58536,-81.8211
Bandai Namco Games  ,PT,Europe,40.68243,-8.47271
EA Redwood Shores  ,US,North America,35.639909,-93.949775
EA DICE  ,US,North America,40.887798,-77.0383
Rockstar Leeds  ,US,North America,43.332051,-89.3052
Dice  ,US,North America,37.363224,-83.227709
EA Black Box  ,US,North America,36.14336,-94.82269
Namco  ,US,North America,39.843601,-121.618103
HAL Laboratory  ,US,North America,40.154999,-80.2136
Epic Games  ,BR,South America,-27.75741,-51.99516
Retro Studios  ,IT,Europe,46.08715,12.99229
Blizzard Entertainment  ,AU,Australia,-19.25145,146.82775
Naughty Dog Software  ,GB,Europe,51.46303,-0.08202
Ubisoft  ,FR,Europe,47.35542,5.89734
EA Los Angeles  ,US,North America,33.974074,-118.428889
"Pipeworks Software, Inc.  ",AU,Australia,-41.45558,147.14239
Rockstar San Diego  ,US,North America,32.75161,-117.064705
Ubisoft Montreal  ,CA,North America,45.509062,-73.553363
Capcom  ,US,North America,35.94906,-78.52731
Konami Computer Entertainment Japan  ,US,North America,40.9925,-75.910599
Mojang  ,ID,Asia,-1.44636,112.04279
Media Molecule  ,US,North America,39.92034,-75.38699
Bungie  ,US,North America,34.77344,-83.00386
Traveller's Tales  ,CA,North America,42.98099,-81.13121
Rocksteady Studios  ,GB,Europe,51.49718,-0.19355
Capcom Production Studio 1  ,AU,Australia,-37.5431,143.79829
Intelligent Systems  ,US,North America,30.4037,-86.85658
Jupiter Corporation  ,US,North America,26.93414,-80.09974
EA Tiburon  ,US,North America,37.873635,-122.455761
Reflections Interactive  ,AU,Australia,-38.11868,145.34174
Sonic Team  ,US,North America,32.78043,-97.31726
Kojima Productions  ,BR,South America,-23.65952,-46.42869
Square Enix  ,US,North America,36.42357,-97.91292
Level 5  ,HU,Europe,46.46464,19.98958
Office Create  ,GB,Europe,53.05152,-2.37717
Turn 10 Studios  ,AU,Australia,-37.74388,144.74642
Bluepoint Games  ,US,North America,31.41149,-97.70975
Next Level Games  ,US,North America,37.2404,-76.75879
Core Design Ltd.  ,US,North America,33.96356,-84.24331
Level 5 / Armor Project  ,HU,Europe,47.89827,17.20443
Nintendo EAD  ,MX,North America,14.88102,-92.27582
Bullet Proof Software  ,GB,Europe,51.47722,-0.06931
Nintendo R&D1;  ,DE,Europe,49.00519,11.92915
Rockstar North  ,AU,Australia,-27.09797,152.86161
Nintendo SDD  ,RU,Europe,45.92702,47.66549
Nintendo R&D2;  ,DE,Europe,49.00547,11.92929
Game Freak  ,US,North America,39.28771,-80.96327
Infinity Ward  ,US,North America,32.3619,-88.278099
Treyarch  ,GB,Europe,52.7868,-2.08532
DMA Design  ,US,North America,42.34446,-71.03432
Sledgehammer Games  ,US,North America,27.04974,-82.08837
Bungie Software  ,DE,Europe,50.80233,8.76878
Good Science Studio  ,US,North America,39.31686,-81.52497
Polyphony Digital  ,AU,Australia,-33.91732,151.19338
Nintendo EAD / Retro Studios  ,FR,Europe,43.66618,7.19591
Project Sora  ,MX,North America,29.06799,-110.95473
Nintendo EAD Tokyo  ,FR,Europe,43.40837,4.82975
Nintendo  ,DE,Europe,49.02542,11.96084
EA Canada  ,US,North America,38.354198,-97.112503
Ubisoft Paris  ,CA,North America,43.200001,-80.383301
Naughty Dog  ,IE,Europe,53.01221,-7.8399
343 Industries  ,US,North America,39.86287,-84.89034
4J Studios  ,GB,Europe,54.51446,-6.04079
Hudson Soft  ,US,North America,39.035,-84.56986
SquareSoft  ,AU,Australia,-38.19111,142.53157
Sega  ,US,North America,42.026307,-87.754692
Bethesda Game Studios  ,NO,Europe,59.21896,10.92887
Atari  ,US,North America,41.501555,-94.643434
EA Vancouver  ,CA,North America,49.263566,-123.138572
Rare Ltd.  ,FR,Europe,45.06879,5.76713
"Nd Cube Co., Ltd.  ",US,North America,37.58536,-81.8211
Bandai Namco Games  ,PT,Europe,40.68243,-8.47271
EA Redwood Shores  ,US,North America,35.639909,-93.949775
EA DICE  ,US,North America,40.887798,-77.0383
Rockstar Leeds  ,US,North America,48.285883,-99.436527
Dice  ,US,North America,37.363224,-83.227709
EA Black Box  ,US,North America,36.14336,-94.82269
Namco  ,US,North America,39.843601,-121.618103
HAL Laboratory  ,US,North America,40.154999,-80.2136
Epic Games  ,BR,South America,-27.75741,-51.99516
Retro Studios  ,IT,Europe,46.08715,12.99229
Blizzard Entertainment  ,AU,Australia,-19.25145,146.82775
Naughty Dog Software  ,GB,Europe,51.46303,-0.08202
Ubisoft  ,FR,Europe,47.35542,5.89734
EA Los Angeles  ,US,North America,33.974074,-118.428889
"Pipeworks Software, Inc.  ",AU,Australia,-41.45558,147.14239
Rockstar San Diego  ,US,North America,32.75161,-117.064705
Ubisoft Montreal  ,CA,North America,45.509062,-73.553363
Capcom  ,US,North America,35.94906,-78.52731
Konami Computer Entertainment Japan  ,US,North America,38.239201,-91.305801
Mojang  ,ID,Asia,-1.44636,112.04279
Media Molecule  ,US,North America,39.92034,-75.38699
Bungie  ,US,North America,34.77344,-83.00386
Traveller's Tales  ,CA,North America,42.98099,-81.13121
Rocksteady Studios  ,GB,Europe,51.49718,-0.19355
Capcom Production Studio 1  ,AU,Australia,-37.5431,143.79829
Intelligent Systems  ,US,North America,30.4037,-86.85658
Jupiter Corporation  ,US,North America,26.93414,-80.09974
