,0,1
0,US,North America
1,US,North America
2,US,North America
3,US,North America
4,US,North America
5,US,North America
6,US,North America
7,US,North America
8,US,North America
9,US,North America
10,US,North America
11,US,North America
12,US,North America
13,US,North America
14,CA,North America
15,US,North America
16,US,North America
17,US,North America
18,US,North America
19,US,North America
20,US,North America
21,US,North America
22,US,North America
23,US,North America
24,US,North America
25,US,North America
26,US,North America
27,US,North America
28,US,North America
29,US,North America
30,US,North America
31,US,North America
32,US,North America
33,US,North America
34,US,North America
35,US,North America
36,US,North America
37,US,North America
38,US,North America
39,US,North America
40,US,North America
41,US,North America
42,US,North America
43,US,North America
44,CA,North America
45,US,North America
46,US,North America
47,US,North America
48,US,North America
49,US,North America
50,US,North America
51,US,North America
52,US,North America
53,US,North America
54,US,North America
55,US,North America
56,US,North America
57,US,North America
58,US,North America
59,US,North America
60,US,North America
61,US,North America
62,US,North America
63,US,North America
64,CA,North America
65,US,North America
66,CA,North America
67,US,North America
68,US,North America
69,US,North America
70,US,North America
71,US,North America
72,CA,North America
73,US,North America
74,US,North America
75,US,North America
76,US,North America
77,US,North America
78,CA,North America
79,US,North America
80,US,North America
81,US,North America
82,US,North America
83,US,North America
84,US,North America
85,US,North America
86,US,North America
87,US,North America
88,IN,Asia
89,IN,Asia
90,US,North America
91,US,North America
92,US,North America
93,US,North America
94,US,North America
95,US,North America
96,US,North America
97,US,North America
98,US,North America
99,US,North America
100,US,North America
101,US,North America
102,US,North America
103,US,North America
104,US,North America
105,US,North America
106,US,North America
107,US,North America
108,US,North America
109,US,North America
110,US,North America
111,US,North America
112,US,North America
113,US,North America
114,US,North America
115,US,North America
116,US,North America
117,CA,North America
118,US,North America
119,US,North America
120,US,North America
121,US,North America
122,US,North America
123,US,North America
124,US,North America
125,US,North America
126,US,North America
127,US,North America
128,US,North America
129,CA,North America
130,US,North America
131,US,North America
132,US,North America
133,US,North America
134,CA,North America
135,US,North America
136,US,North America
137,US,North America
138,US,North America
139,GT,North America
140,CA,North America
141,CA,North America
142,CA,North America
143,US,North America
144,US,North America
145,US,North America
146,US,North America
147,US,North America
148,US,North America
149,GB,Europe
150,US,North America
151,,
152,US,North America
153,US,North America
154,US,North America
155,US,North America
156,US,North America
157,US,North America
158,US,North America
159,US,North America
160,US,North America
161,CA,North America
162,US,North America
163,US,North America
164,US,North America
165,US,North America
166,US,North America
167,US,North America
168,US,North America
169,US,North America
170,US,North America
171,US,North America
172,US,North America
173,US,North America
174,US,North America
175,IN,Asia
176,US,North America
177,US,North America
178,US,North America
179,US,North America
180,US,North America
181,US,North America
182,CA,North America
183,US,North America
184,US,North America
185,US,North America
186,US,North America
187,US,North America
188,US,North America
189,US,North America
190,US,North America
191,US,North America
192,US,North America
193,US,North America
194,US,North America
195,CA,North America
196,,
197,CA,North America
198,US,North America
199,US,North America
200,US,North America
201,US,North America
202,US,North America
203,,
204,US,North America
205,US,North America
206,CA,North America
207,US,North America
208,US,North America
209,US,North America
210,US,North America
211,US,North America
212,US,North America
213,US,North America
214,US,North America
215,US,North America
216,US,North America
217,US,North America
218,US,North America
219,US,North America
220,US,North America
221,US,North America
222,US,North America
223,IN,Asia
224,US,North America
225,US,North America
226,,
227,US,North America
228,US,North America
229,CA,North America
230,US,North America
231,US,North America
232,US,North America
233,US,North America
234,US,North America
235,US,North America
236,CA,North America
237,US,North America
238,US,North America
239,US,North America
240,US,North America
241,US,North America
242,CA,North America
243,US,North America
244,US,North America
245,US,North America
246,US,North America
247,US,North America
248,US,North America
249,US,North America
250,US,North America
251,US,North America
252,US,North America
253,US,North America
254,US,North America
255,US,North America
256,US,North America
257,US,North America
258,US,North America
259,US,North America
260,US,North America
261,GB,Europe
262,IN,Asia
263,US,North America
264,US,North America
265,CA,North America
266,US,North America
267,CA,North America
268,US,North America
269,US,North America
270,US,North America
271,US,North America
272,US,North America
273,US,North America
274,US,North America
275,US,North America
276,US,North America
277,US,North America
278,US,North America
279,,
280,US,North America
281,US,North America
282,US,North America
283,US,North America
284,,
285,US,North America
286,US,North America
287,US,North America
288,US,North America
289,US,North America
290,US,North America
291,US,North America
292,US,North America
293,CA,North America
294,US,North America
295,US,North America
296,US,North America
297,US,North America
298,US,North America
299,US,North America
300,US,North America
301,US,North America
302,US,North America
303,US,North America
304,US,North America
305,US,North America
306,US,North America
307,US,North America
308,US,North America
309,US,North America
310,US,North America
311,US,North America
312,US,North America
313,US,North America
314,US,North America
315,US,North America
316,US,North America
317,US,North America
318,US,North America
319,US,North America
320,US,North America
321,US,North America
322,US,North America
323,US,North America
324,US,North America
325,US,North America
326,US,North America
327,,
328,US,North America
329,US,North America
330,US,North America
331,US,North America
332,US,North America
333,US,North America
334,CA,North America
335,US,North America
336,US,North America
337,US,North America
338,US,North America
339,US,North America
340,US,North America
341,US,North America
342,US,North America
343,US,North America
344,US,North America
345,US,North America
346,US,North America
347,US,North America
348,US,North America
349,US,North America
350,US,North America
351,US,North America
352,US,North America
353,US,North America
354,,
355,US,North America
356,US,North America
357,US,North America
358,US,North America
359,US,North America
360,US,North America
361,PK,Asia
362,US,North America
363,US,North America
364,US,North America
365,CA,North America
366,US,North America
367,CA,North America
368,PK,Asia
369,US,North America
370,US,North America
371,US,North America
372,US,North America
373,US,North America
374,US,North America
375,US,North America
376,US,North America
377,US,North America
378,US,North America
379,CA,North America
380,US,North America
381,US,North America
382,US,North America
383,US,North America
384,US,North America
385,US,North America
386,US,North America
387,US,North America
388,IN,Asia
389,US,North America
390,US,North America
391,US,North America
392,US,North America
393,US,North America
394,US,North America
395,US,North America
396,US,North America
397,US,North America
398,US,North America
399,US,North America
400,US,North America
401,US,North America
402,PK,Asia
403,US,North America
404,US,North America
405,US,North America
406,US,North America
407,US,North America
408,US,North America
409,US,North America
410,US,North America
411,US,North America
412,US,North America
413,CA,North America
414,US,North America
415,US,North America
416,US,North America
417,US,North America
418,US,North America
419,US,North America
420,US,North America
421,US,North America
422,CA,North America
423,US,North America
424,US,North America
425,PK,Asia
426,US,North America
427,US,North America
428,US,North America
429,US,North America
430,IN,Asia
431,US,North America
432,IN,Asia
433,US,North America
434,GB,Europe
435,US,North America
436,US,North America
437,US,North America
438,US,North America
439,US,North America
440,US,North America
441,US,North America
442,US,North America
443,US,North America
444,US,North America
445,US,North America
446,US,North America
447,US,North America
448,US,North America
449,US,North America
450,US,North America
451,IN,Asia
452,US,North America
453,US,North America
454,US,North America
455,US,North America
456,US,North America
457,US,North America
458,US,North America
459,US,North America
460,US,North America
461,US,North America
462,US,North America
463,US,North America
464,US,North America
465,PK,Asia
466,US,North America
467,US,North America
468,PK,Asia
469,US,North America
470,US,North America
471,US,North America
472,US,North America
473,US,North America
474,IN,Asia
475,RO,Europe
476,US,North America
477,US,North America
478,US,North America
479,US,North America
480,US,North America
481,US,North America
482,US,North America
483,CA,North America
484,US,North America
485,US,North America
486,US,North America
487,US,North America
488,PK,Asia
489,IN,Asia
490,US,North America
491,US,North America
492,US,North America
493,US,North America
494,US,North America
495,US,North America
496,CA,North America
497,US,North America
498,US,North America
499,US,North America
500,US,North America
501,US,North America
502,US,North America
503,US,North America
504,US,North America
505,US,North America
506,GB,Europe
507,US,North America
508,US,North America
509,US,North America
510,,
511,US,North America
512,US,North America
513,US,North America
514,US,North America
515,PK,Asia
516,US,North America
517,US,North America
518,US,North America
519,PK,Asia
520,US,North America
521,US,North America
522,US,North America
523,US,North America
524,US,North America
525,PK,Asia
526,US,North America
527,US,North America
528,PK,Asia
529,US,North America
530,US,North America
531,GT,North America
532,US,North America
533,US,North America
534,US,North America
535,US,North America
536,US,North America
537,US,North America
538,US,North America
539,US,North America
540,US,North America
541,US,North America
542,US,North America
543,CA,North America
544,US,North America
545,PK,Asia
546,IN,Asia
547,US,North America
548,US,North America
549,US,North America
550,US,North America
551,US,North America
552,US,North America
553,US,North America
554,,
555,US,North America
556,US,North America
557,US,North America
558,US,North America
559,US,North America
560,US,North America
561,US,North America
562,US,North America
563,US,North America
564,US,North America
565,US,North America
566,US,North America
567,US,North America
568,US,North America
569,CA,North America
570,US,North America
571,US,North America
572,US,North America
573,US,North America
574,US,North America
575,US,North America
576,US,North America
577,US,North America
578,US,North America
579,US,North America
580,US,North America
581,US,North America
582,CA,North America
583,US,North America
584,US,North America
585,US,North America
586,US,North America
587,US,North America
588,US,North America
589,US,North America
590,US,North America
591,US,North America
592,US,North America
593,US,North America
594,PK,Asia
595,US,North America
596,US,North America
597,US,North America
598,US,North America
599,US,North America
600,US,North America
601,US,North America
602,US,North America
603,US,North America
604,US,North America
605,US,North America
606,US,North America
607,US,North America
608,US,North America
609,IN,Asia
610,US,North America
611,US,North America
612,US,North America
613,US,North America
614,US,North America
615,US,North America
616,US,North America
617,US,North America
618,US,North America
619,US,North America
620,US,North America
621,US,North America
622,US,North America
623,US,North America
624,CA,North America
625,US,North America
626,US,North America
627,US,North America
628,US,North America
629,PK,Asia
630,US,North America
631,US,North America
632,IN,Asia
633,IN,Asia
634,US,North America
635,US,North America
636,US,North America
637,US,North America
638,US,North America
639,US,North America
640,US,North America
641,US,North America
642,US,North America
643,US,North America
644,US,North America
645,PK,Asia
646,US,North America
647,US,North America
648,IN,Asia
649,US,North America
650,US,North America
651,US,North America
652,US,North America
653,CA,North America
654,US,North America
655,US,North America
656,US,North America
657,US,North America
658,US,North America
659,US,North America
660,,
661,US,North America
662,PK,Asia
663,US,North America
664,US,North America
665,,
666,PK,Asia
667,US,North America
668,US,North America
669,US,North America
670,US,North America
671,US,North America
672,US,North America
673,US,North America
674,CA,North America
675,CA,North America
676,PK,Asia
677,US,North America
678,US,North America
679,US,North America
680,US,North America
681,CA,North America
682,US,North America
683,US,North America
684,US,North America
685,US,North America
686,US,North America
687,IN,Asia
688,US,North America
689,US,North America
690,US,North America
691,US,North America
692,US,North America
693,CA,North America
694,US,North America
695,US,North America
696,US,North America
697,US,North America
698,US,North America
699,US,North America
700,US,North America
701,US,North America
702,US,North America
703,GB,Europe
704,US,North America
705,US,North America
706,US,North America
707,US,North America
708,US,North America
709,US,North America
710,US,North America
711,,
712,US,North America
713,US,North America
714,US,North America
715,US,North America
716,US,North America
717,US,North America
718,US,North America
719,US,North America
720,US,North America
721,US,North America
722,,
723,US,North America
724,US,North America
725,US,North America
726,US,North America
727,US,North America
728,US,North America
729,US,North America
730,US,North America
731,US,North America
732,US,North America
733,US,North America
734,US,North America
735,US,North America
736,GB,Europe
737,US,North America
738,CA,North America
739,US,North America
740,US,North America
741,US,North America
742,US,North America
743,US,North America
744,US,North America
745,US,North America
746,US,North America
747,US,North America
748,US,North America
749,US,North America
750,US,North America
751,PK,Asia
752,US,North America
753,PK,Asia
754,US,North America
755,US,North America
756,US,North America
757,US,North America
758,US,North America
759,US,North America
760,US,North America
761,US,North America
762,US,North America
763,US,North America
764,US,North America
765,US,North America
766,US,North America
767,US,North America
768,US,North America
769,US,North America
770,US,North America
771,US,North America
772,US,North America
773,US,North America
774,US,North America
775,US,North America
776,IN,Asia
777,US,North America
778,CA,North America
779,US,North America
780,US,North America
781,US,North America
782,US,North America
783,US,North America
784,US,North America
785,US,North America
786,IN,Asia
787,US,North America
788,CA,North America
789,PK,Asia
790,US,North America
791,US,North America
792,US,North America
793,US,North America
794,,
795,US,North America
796,PK,Asia
797,US,North America
798,US,North America
799,US,North America
800,US,North America
801,PK,Asia
802,US,North America
803,US,North America
804,US,North America
805,IN,Asia
806,US,North America
807,US,North America
808,US,North America
809,US,North America
810,US,North America
811,US,North America
812,US,North America
813,US,North America
814,US,North America
815,US,North America
816,PK,Asia
817,US,North America
818,US,North America
819,US,North America
820,US,North America
821,PK,Asia
822,US,North America
823,US,North America
824,US,North America
825,US,North America
826,US,North America
827,US,North America
828,US,North America
829,US,North America
830,US,North America
831,US,North America
832,US,North America
833,US,North America
834,US,North America
835,US,North America
836,US,North America
837,CA,North America
838,CA,North America
839,US,North America
840,US,North America
841,US,North America
842,US,North America
843,US,North America
844,US,North America
845,US,North America
846,US,North America
847,US,North America
848,US,North America
849,US,North America
850,US,North America
851,US,North America
852,US,North America
853,US,North America
854,US,North America
855,US,North America
856,US,North America
857,US,North America
858,US,North America
859,US,North America
860,US,North America
861,US,North America
862,US,North America
863,US,North America
864,US,North America
865,US,North America
866,IN,Asia
867,US,North America
868,GB,Europe
869,US,North America
870,US,North America
871,CA,North America
872,US,North America
873,,
874,US,North America
875,US,North America
876,US,North America
877,US,North America
878,US,North America
879,US,North America
880,US,North America
881,US,North America
882,US,North America
883,PK,Asia
884,US,North America
885,US,North America
886,IN,Asia
887,US,North America
888,US,North America
889,US,North America
890,US,North America
891,US,North America
892,US,North America
893,US,North America
894,US,North America
895,US,North America
896,US,North America
897,US,North America
898,US,North America
899,PK,Asia
900,US,North America
901,US,North America
902,PK,Asia
903,US,North America
904,US,North America
905,US,North America
906,US,North America
907,US,North America
908,US,North America
909,US,North America
910,US,North America
911,US,North America
912,US,North America
913,US,North America
914,US,North America
915,US,North America
916,US,North America
917,US,North America
918,US,North America
919,US,North America
920,US,North America
