console,date,developer,genre,location,name,week_num,weekly_sales,year,month,week,weekday,total_tweets,year_of_release,time_difference,last_week_sales
X360,28 Jun 2014,Electronic,Sports,USA,2014 FIFA World Cup Brazil,12,6562,2014,6,26,5,0.0,2014-04-15 00:00:00,10.0,23059.0
X360,28 Jun 2014,Electronic,Sports,USA,2014 FIFA World Cup Brazil,12,6562,2014,7,30,6,0.0,2014-04-15 00:00:00,14.0,23059.0
WiiU,07 Nov 2015,Nintendo,Misc,USA,Animal Crossing Amiibo Festival,1,72336,2015,11,48,6,0.0,2015-11-13 00:00:00,3.0,0.0
3DS,08 Jun 2013,Nintendo,Action,USA,Animal Crossing New Leaf,1,249385,2013,6,25,6,0.0,2001-04-14 00:00:00,636.0,19319.0
X360,23 Mar 2013,Electronic,Shooter,USA,Army of Two The Devil s Cartel,1,38024,2013,3,13,6,0.0,2013-03-26 00:00:00,1.0,38024.0
X360,08 Jun 2013,Ubisoft,Action,USA,Assassin s Creed III,33,7455,2013,6,23,6,0.0,2012-11-18 00:00:00,28.0,0.0
XOne,28 Dec 2013,Ubisoft,Action,USA,Assassin s Creed IV Black Flag,7,19934,2013,12,52,5,0.0,2013-10-29 00:00:00,8.0,28884.0
XOne,28 Dec 2013,Ubisoft,Action,USA,Assassin s Creed IV Black Flag,7,19934,2014,1,4,6,0.0,2013-10-29 00:00:00,12.0,28884.0
XOne,30 Dec 2017,Ubisoft,Action,USA,Assassin s Creed Origins,11,16159,2018,1,3,6,6000.0,2017-10-27 00:00:00,12.0,13203.0
XOne,26 Dec 2015,Ubisoft,Action,USA,Assassin s Creed Syndicate,11,18767,2016,1,1,6,0.0,2015-11-19 00:00:00,7.0,20505.0
PS3,08 Mar 2014,Tecmo,Role-Playing,USA,Atelier Escha & Logy Alchemists of the Dusk Sky,1,15431,2014,3,11,6,0.0,2014-03-11 00:00:00,1.0,15431.0
PS4,04 Jun 2016,Tecmo,Role-Playing,USA,Atelier Sophie The Alchemist of the Mysterious Book,1,7411,2016,6,22,6,0.0,2016-06-07 00:00:00,0.0,0.0
0,08 Jun 2013,0,0,USA,Batman Arkham City,87,14662,2013,6,23,5,0.0,2012-11-18 00:00:00,28.0,18642.0
0,08 Jun 2013,0,0,USA,Batman Arkham City,87,14662,2013,7,27,6,0.0,2012-11-18 00:00:00,32.0,18642.0
0,26 Oct 2013,0,0,USA,Batman Arkham Origins,2,72624,2013,11,46,6,0.0,2013-10-25 00:00:00,3.0,79661.0
0,19 Oct 2013,0,0,USA,Batman Arkham Origins Blackgate,1,17387,2013,11,44,6,0.0,2013-10-25 00:00:00,2.0,28028.0
XOne,30 Apr 2016,Take-Two,Shooter,USA,Battleborn,1,44074,2016,5,18,6,0.0,2016-05-03 00:00:00,1.0,44074.0
X360,08 Jun 2013,Electronic,Shooter,USA,Battlefield 3,86,7044,2013,6,23,6,0.0,2011-10-25 00:00:00,84.0,0.0
XOne,30 Nov 2013,Electronic,Shooter,USA,Battlefield 4,3,55618,2013,11,48,5,0.0,2013-10-29 00:00:00,4.0,105463.0
XOne,30 Nov 2013,Electronic,Shooter,USA,Battlefield 4,3,55618,2013,12,52,6,0.0,2013-10-29 00:00:00,8.0,105463.0
NS,24 Feb 2018,Nintendo,Action,USA,Bayonetta 2,3,11362,2018,3,11,6,3500.0,2018-02-16 00:00:00,4.0,21112.0
PS3,19 Oct 2013,Sony Computer,Adventure,USA,Beyond Two Souls,3,18974,2013,11,44,6,0.0,2013-10-08 00:00:00,3.0,0.0
X360,23 Mar 2013,Take-Two,Shooter,USA,BioShock Infinite,1,458938,2013,3,13,6,0.0,2013-03-26 00:00:00,1.0,458938.0
PS4,26 Dec 2015,Sony Computer,Action,USA,Bloodborne,41,19084,2015,12,52,6,0.0,2015-03-24 00:00:00,39.0,0.0
PSV,10 May 2014,Take-Two,Shooter,USA,Borderlands 2,2,8189,2014,5,19,5,0.0,2009-10-20 00:00:00,237.0,42379.0
PSV,10 May 2014,Take-Two,Shooter,USA,Borderlands 2,2,8189,2014,6,23,6,0.0,2009-10-20 00:00:00,241.0,42379.0
PS4,10 May 2014,Focus Home,Action,USA,Bound By Flame,2,15346,2014,6,22,6,0.0,2014-05-09 00:00:00,3.0,0.0
3DS,22 Feb 2014,Nintendo,Role-Playing,USA,Bravely Default Flying Fairy,4,13913,2014,3,10,6,0.0,2014-02-07 00:00:00,4.0,19379.0
3DS,30 Apr 2016,Nintendo,Role-Playing,USA,Bravely Second End Layer,4,7766,2016,5,18,6,0.0,2016-04-15 00:00:00,3.0,115449.0
XOne,31 Oct 2015,Activision,Shooter,USA,Call of Duty Black Ops 3,1,1018190,2015,11,44,6,0.0,2015-11-06 00:00:00,0.0,170275.0
X360,23 Mar 2013,Activision,Shooter,USA,Call of Duty Black Ops II,20,24978,2013,3,12,5,0.0,2012-11-18 00:00:00,17.0,14771.0
X360,23 Mar 2013,Activision,Shooter,USA,Call of Duty Black Ops II,20,24978,2013,4,16,6,0.0,2012-11-18 00:00:00,21.0,14771.0
XOne,31 May 2014,Activision,Shooter,USA,Call of Duty Ghosts,29,10062,2014,6,25,6,0.0,2013-11-05 00:00:00,32.0,18162.0
XOne,30 Dec 2017,Activision,Shooter,USA,Call of Duty WWII,10,38518,2018,1,2,6,6500.0,2017-11-03 00:00:00,10.0,55788.0
X360,22 Feb 2014,Konami Digital,Action,USA,Castlevania Lords of Shadow 2,1,16391,2014,3,9,6,0.0,2014-02-25 00:00:00,1.0,16391.0
PS4,30 Sep 2017,Activision,Platform,USA,Crash Bandicoot N. Sane Trilogy,15,6685,2017,10,39,6,0.0,2017-06-30 00:00:00,13.0,9759.0
PSV,30 Aug 2014,Nippon Ichi,Action,USA,Danganronpa 2 Goodbye Despair,1,20418,2014,8,35,5,0.0,2014-09-02 00:00:00,0.0,0.0
PSV,30 Aug 2014,Nippon Ichi,Action,USA,Danganronpa 2 Goodbye Despair,1,20418,2014,9,39,6,0.0,2014-09-02 00:00:00,4.0,0.0
PC,19 Apr 2014,Namco Bandai,Action,USA,Dark Souls II,1,9894,2014,5,19,6,0.0,2014-04-24 00:00:00,3.0,0.0
XOne,30 Apr 2016,Namco Bandai,Role-Playing,USA,Dark Souls III,4,7945,2016,5,19,6,0.0,2016-04-12 00:00:00,4.0,18916.0
XOne,28 May 2016,Deep,Action,USA,Dead Island Definitive Collection,1,8764,2016,6,22,6,0.0,2016-05-31 00:00:00,1.0,8764.0
XOne,30 Nov 2013,Microsoft Game,Action,USA,Dead Rising 3,3,49521,2013,12,48,6,0.0,2010-09-28 00:00:00,165.0,13073.0
PSV,19 Apr 2014,Nippon Ichi,Role-Playing,USA,Demon Gaze,1,12941,2014,4,16,5,0.0,2014-04-22 00:00:00,0.0,0.0
PSV,19 Apr 2014,Nippon Ichi,Role-Playing,USA,Demon Gaze,1,12941,2014,5,20,6,0.0,2014-04-22 00:00:00,4.0,0.0
XOne,28 Oct 2017,Activision,Shooter,USA,Destiny 2,9,23925,2017,11,46,6,160.0,2017-10-23 00:00:00,3.0,23338.0
XOne,31 Oct 2015,Activision,Shooter,USA,Destiny The Taken King,8,32072,2015,11,46,6,0.0,2015-09-15 00:00:00,8.0,38551.0
XOne,02 Apr 2016,Codemasters,Racing,USA,DiRT Rally,1,10535,2016,4,14,6,0.0,2016-04-05 00:00:00,1.0,10535.0
X360,30 Aug 2014,Activision,Role-Playing,USA,Diablo III,53,5074,2014,8,35,6,0.0,2014-08-19 00:00:00,1.0,5026.0
X360,28 Dec 2013,Disney Interactive,Action,USA,Disney Infinity,20,21130,2013,12,52,5,0.0,2013-08-18 00:00:00,18.0,19110.0
X360,28 Dec 2013,Disney Interactive,Action,USA,Disney Infinity,20,21130,2014,1,4,6,0.0,2013-08-18 00:00:00,22.0,19110.0
XOne,20 Sep 2014,Disney Interactive,Action,USA,Disney Infinity 2.0 Marvel Super Heroes,1,28972,2014,10,41,6,0.0,2014-09-23 00:00:00,3.0,59508.0
PS4,27 Jan 2018,Square,Fighting,USA,Dissidia Final Fantasy NT,1,80489,2018,2,6,6,0.0,2018-01-30 00:00:00,2.0,10424.0
3DS,08 Jun 2013,Nintendo,Platform,USA,Donkey Kong Country Returns 3D,4,20246,2013,6,24,6,0.0,2013-05-24 00:00:00,3.0,150880.0
WiiU,22 Feb 2014,Nintendo,Platform,USA,Donkey Kong Country Tropical Freeze,2,34078,2014,2,8,6,0.0,2014-02-21 00:00:00,0.0,6765.0
XOne,27 Jan 2018,Namco Bandai,Fighting,USA,Dragon Ball Fighter Z,2,30023,2018,1,4,5,1000.0,2018-01-26 00:00:00,0.0,60401.0
XOne,27 Jan 2018,Namco Bandai,Fighting,USA,Dragon Ball Fighter Z,2,30023,2018,2,8,6,1000.0,2018-01-26 00:00:00,4.0,60401.0
NS,30 Sep 2017,Namco Bandai,Action,USA,Dragon Ball Xenoverse 2,3,6319,2017,10,42,6,40.0,2015-02-24 00:00:00,138.0,8478.0
NS,03 Feb 2018,Square,Role-Playing,USA,Dragon Quest Builders Revive Alefgard,1,13801,2018,2,7,6,0.0,2016-01-28 00:00:00,107.0,0.0
PS4,30 Sep 2017,Capcom,Role-Playing,USA,Dragon s Dogma,1,9578,2017,10,40,6,0.0,2017-10-03 00:00:00,1.0,9578.0
PS3,17 May 2014,Square,Role-Playing,USA,Drakengard 3,1,16600,2014,5,20,6,0.0,2014-05-20 00:00:00,0.0,0.0
0,27 Feb 2016,0,0,USA,Dying Light,58,10664,2016,2,8,5,0.0,2016-02-06 00:00:00,3.0,12126.0
0,27 Feb 2016,0,0,USA,Dying Light,58,10664,2016,3,12,6,0.0,2016-02-06 00:00:00,7.0,12126.0
XOne,10 Feb 2018,Tecmo,Action,USA,Dynasty Warriors 9,1,10208,2018,3,9,6,500.0,2003-09-05 00:00:00,756.0,16244.0
XOne,26 Mar 2016,Electronic,Sports,USA,EA Sports UFC 2,3,17315,2016,4,14,6,0.0,2016-03-15 00:00:00,3.0,23057.0
XOne,27 Jan 2018,Electronic,Sports,USA,EA Sports UFC 3,1,50518,2018,2,5,6,0.0,2018-02-02 00:00:00,1.0,50518.0
3DS,14 Oct 2017,Atlus,Role-Playing,USA,Etrian Odyssey V,1,14376,2017,10,41,6,0.0,2007-05-15 00:00:00,543.0,0.0
PS3,23 Mar 2013,Electronic,Action,USA,FIFA Soccer 13,27,21791,2013,3,12,5,0.0,2012-09-25 00:00:00,25.0,0.0
PS3,23 Mar 2013,Electronic,Action,USA,FIFA Soccer 13,27,21791,2013,4,16,6,0.0,2012-09-25 00:00:00,29.0,0.0
XOne,16 Nov 2013,Electronic,Sports,USA,FIFA Soccer 14,1,53244,2013,12,49,6,0.0,2010-09-28 00:00:00,166.0,11659.0
PS3,13 Sep 2014,Nippon Ichi,Role-Playing,USA,Fairy Fencer F,1,9465,2014,9,39,6,0.0,2014-09-16 00:00:00,2.0,0.0
XOne,30 Jan 2016,Bethesda,Role-Playing,USA,Fallout 4,13,13702,2016,2,5,6,0.0,2015-11-10 00:00:00,12.0,1943843.0
X360,08 Jun 2013,Ubisoft,Shooter,USA,Far Cry 3,28,6598,2013,6,23,6,0.0,2012-12-04 00:00:00,26.0,0.0
XOne,30 Apr 2016,Ubisoft,Action,USA,Far Cry Primal,11,9400,2016,4,17,5,0.0,2016-03-01 00:00:00,8.0,11142.0
XOne,30 Apr 2016,Ubisoft,Action,USA,Far Cry Primal,11,9400,2016,5,21,6,0.0,2016-03-01 00:00:00,12.0,11142.0
3DS,30 Jan 2016,Square,Role-Playing,USA,Final Fantasy Explorers,2,14000,2016,2,7,6,0.0,2016-01-26 00:00:00,3.0,66748.0
PSV,22 Mar 2014,Square,Role-Playing,USA,Final Fantasy X / X-2 HD Remaster,2,10112,2014,4,14,6,0.0,2014-03-18 00:00:00,2.0,34620.0
PS4,19 Apr 2014,Square,Role-Playing,USA,Final Fantasy XIV A Realm Reborn,2,12827,2014,4,17,6,0.0,2014-04-14 00:00:00,1.0,63257.0
3DS,30 Apr 2016,Nintendo,Role-Playing,USA,Fire Emblem Fates,12,11083,2016,5,17,6,0.0,2016-02-19 00:00:00,10.0,9681.0
NS,21 Oct 2017,Nintendo,Action,USA,Fire Emblem Warriors,2,20145,2017,10,42,5,0.0,2017-10-20 00:00:00,0.0,49691.0
NS,21 Oct 2017,Nintendo,Action,USA,Fire Emblem Warriors,2,20145,2017,11,46,6,0.0,2017-10-20 00:00:00,4.0,49691.0
XOne,30 Dec 2017,Microsoft Game,Racing,USA,Forza Horizon 3,67,19231,2018,1,3,6,1000.0,2012-10-23 00:00:00,273.0,7856.0
XOne,31 May 2014,Microsoft Game,Racing,USA,Forza Motorsport 5,29,9183,2014,6,24,6,0.0,2013-11-22 00:00:00,29.0,4524.0
XOne,26 Dec 2015,Microsoft Game,Racing,USA,Forza Motorsport 6,16,21952,2016,1,53,6,0.0,2015-09-15 00:00:00,15.0,449065.0
XOne,30 Sep 2017,Microsoft Game,Racing,USA,Forza Motorsport 7,1,89832,2017,10,39,6,0.0,2005-05-03 00:00:00,647.0,21863.0
XOne,07 Oct 2017,Gun,Action,USA,Friday the 13th The Game,1,8858,2017,10,40,5,0.0,2017-10-13 00:00:00,0.0,13012.0
XOne,07 Oct 2017,Gun,Action,USA,Friday the 13th The Game,1,8858,2017,11,44,6,0.0,2017-10-13 00:00:00,4.0,13012.0
X360,23 Mar 2013,Microsoft Game,Shooter,USA,Gears of War Judgment,2,95472,2013,4,15,6,0.0,2013-03-19 00:00:00,3.0,0.0
PS3,23 Mar 2013,Sony Computer,Action,USA,God of War Ascension,3,49174,2013,4,14,6,0.0,2013-03-12 00:00:00,3.0,0.0
PS3,23 Mar 2013,Sony Computer,Action,USA,God of War Saga,31,24153,2013,3,13,6,0.0,2012-08-28 00:00:00,30.0,316372.0
0,30 Nov 2013,0,0,USA,Gran Turismo 6,1,180413,2013,12,48,6,0.0,2009-10-01 00:00:00,217.0,0.0
PS4,28 Oct 2017,Sony Computer,Racing,USA,Gran Turismo Sport,3,22129,2017,10,43,5,60.0,2017-10-17 00:00:00,1.0,50232.0
PS4,28 Oct 2017,Sony Computer,Racing,USA,Gran Turismo Sport,3,22129,2017,11,47,6,60.0,2017-10-17 00:00:00,5.0,50232.0
XOne,30 Sep 2017,Take-Two,Action,USA,Grand Theft Auto V,151,13567,2017,10,42,6,40.0,2004-10-26 00:00:00,677.0,12847.0
PS4,04 Jun 2016,Aksys,Fighting,USA,Guilty Gear Xrd -Revelator-,1,10694,2016,6,24,6,0.0,2016-06-07 00:00:00,2.0,8779.0
PS4,23 Sep 2017,Namco Bandai,Action,USA,Gundam Versus,1,12776,2017,10,39,6,0.0,2017-09-29 00:00:00,1.0,12776.0
XOne,31 Oct 2015,Microsoft Game,Shooter,USA,Halo 5 Guardians,2,185985,2015,11,44,6,0.0,2015-10-27 00:00:00,0.0,15536.0
XOne,28 May 2016,Microsoft Game,Shooter,USA,Halo The Master Chief Collection,82,6867,2016,5,21,5,0.0,2014-11-11 00:00:00,80.0,0.0
XOne,28 May 2016,Microsoft Game,Shooter,USA,Halo The Master Chief Collection,82,6867,2016,6,25,6,0.0,2014-11-11 00:00:00,84.0,0.0
XOne,02 Dec 2017,Gearbox,Action,USA,Hello Neighbor,1,86295,2017,12,51,6,0.0,2017-12-08 00:00:00,3.0,0.0
XOne,21 May 2016,Deep,Shooter,USA,Homefront The Revolution,2,7142,2016,6,22,6,0.0,2016-05-17 00:00:00,2.0,7955.0
PS4,30 Dec 2017,Sony Computer,Action,USA,Horizon Zero Dawn,45,14867,2018,1,1,6,2000.0,2017-02-28 00:00:00,44.0,1464151.0
Wii,28 Jun 2014,Little,Adventure,USA,How to Train Your Dragon 2,4,6545,2014,6,26,6,0.0,2010-03-23 00:00:00,222.0,0.0
WiiU,20 Sep 2014,Nintendo,Action,USA,Hyrule Warriors,1,129165,2014,9,38,5,0.0,2014-09-26 00:00:00,0.0,0.0
WiiU,20 Sep 2014,Nintendo,Action,USA,Hyrule Warriors,1,129165,2014,10,42,6,0.0,2014-09-26 00:00:00,4.0,0.0
3DS,26 Mar 2016,Nintendo,Action,USA,Hyrule Warriors Legends,2,14946,2016,4,15,6,0.0,2016-03-25 00:00:00,3.0,85494.0
0,08 Jun 2013,0,0,USA,Injustice Gods Among Us,9,11422,2013,6,25,6,0.0,2013-04-16 00:00:00,9.0,0.0
XOne,26 Dec 2015,Square,Action,USA,Just Cause 3,5,21297,2016,1,53,6,0.0,2006-09-27 00:00:00,483.0,288560.0
X360,30 Nov 2013,Ubisoft,Misc,USA,Just Dance 2014,9,131591,2013,12,48,6,0.0,2013-10-08 00:00:00,7.0,180112.0
Wii,26 Dec 2015,Ubisoft,Misc,USA,Just Dance 2016,11,20583,2015,12,52,5,0.0,2015-10-20 00:00:00,9.0,74356.0
Wii,26 Dec 2015,Ubisoft,Misc,USA,Just Dance 2016,11,20583,2016,1,3,6,0.0,2015-10-20 00:00:00,13.0,74356.0
NS,09 Dec 2017,Ubisoft,Misc,USA,Just Dance 2018,8,47117,2017,12,52,6,500.0,2017-10-24 00:00:00,9.0,0.0
Wii,23 Mar 2013,Ubisoft,Misc,USA,Just Dance 4,25,14381,2013,4,14,6,0.0,2012-11-18 00:00:00,19.0,15400.0
PS4,25 Jan 2014,Sony Computer,Action,USA,Killzone Shadow Fall,12,17359,2014,2,5,6,0.0,2013-11-15 00:00:00,11.0,457153.0
X360,30 Nov 2013,Microsoft Game,Misc,USA,Kinect Adventures!,162,54305,2013,12,48,6,0.0,2010-11-04 00:00:00,160.0,22423.0
XOne,12 Apr 2014,Microsoft Game,Sports,USA,Kinect Sports Rivals,2,13110,2014,4,15,5,0.0,2014-04-08 00:00:00,0.0,64195.0
XOne,12 Apr 2014,Microsoft Game,Sports,USA,Kinect Sports Rivals,2,13110,2014,5,19,6,0.0,2014-04-08 00:00:00,4.0,64195.0
XOne,17 Feb 2018,Deep,Role-Playing,USA,Kingdom Come Deliverance,2,9962,2018,3,10,6,1000.0,2018-02-13 00:00:00,3.0,10582.0
