,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
0, Super Mario Bros.     ,Nintendo  ,Nintendo EAD  ,,10.0  ,,40.24,29.08,3.58,6.81,0.77,18 Oct 85  ,Platform
1, Wii Sports Resort     ,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,32.90,15.61,10.98,3.29,3.02,26 Jul 09  ,Sports
2, Tetris     ,Nintendo  ,Bullet Proof Software  ,,,,30.26,23.20,2.26,4.22,0.58,01 Jun 89  ,Puzzle
3, Wii Play     ,Nintendo  ,Nintendo EAD  ,5.3  ,5.9  ,4.5  ,28.92,13.96,9.18,2.93,2.85,12 Feb 07  ,
4, Duck Hunt     ,Nintendo  ,Nintendo R&D1;  ,,,,28.31,26.93,0.63,0.28,0.47,15 Oct 85  ,Shooter
5, Mario Kart DS     ,Nintendo  ,Nintendo EAD  ,,9.1  ,9.4  ,23.26,9.71,7.51,4.13,1.91,14 Nov 05  ,Racing
6, Wii Fit     ,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,,22.70,8.92,8.03,3.60,2.15,21 May 08  ,
7, Wii Fit Plus     ,Nintendo  ,Nintendo EAD  ,,8.0  ,,21.81,9.01,8.51,2.53,1.76,04 Oct 09  ,Sports
8, Super Mario World     ,Nintendo  ,Nintendo EAD  ,,8.5  ,,20.61,12.78,3.75,3.54,0.55,13 Aug 91  ,Platform
9, Brain Age: Train Your Brain in Minutes a Day     ,Nintendo  ,Nintendo SDD  ,,8.1  ,,20.16,4.74,9.21,4.16,2.04,17 Apr 06  ,Misc
10, Super Mario Land     ,Nintendo  ,Nintendo R&D1;  ,,,,18.14,10.83,2.71,4.18,0.42,01 Aug 89  ,Action
11, Super Mario Bros. 3     ,Nintendo  ,Nintendo R&D2;  ,,,,17.28,9.54,3.44,3.84,0.46,12 Feb 90  ,Platform
12, Grand Theft Auto: Vice City     ,Rockstar Games  ,Rockstar North  ,,9.6  ,,16.15,8.41,5.49,0.47,1.78,28 Oct 02  ,Adventure
13, Pok�mon Ruby / Sapphire Version     ,Nintendo  ,Game Freak  ,,8.8  ,,15.85,6.06,3.90,5.38,0.50,17 Mar 03  ,Misc
14, Pok�mon Black / White Version     ,Nintendo  ,Game Freak  ,,8.6  ,,15.18,5.51,3.20,5.66,0.80,06 Mar 11  ,Role-Playing
15, Pokemon Sun/Moon     ,Nintendo  ,Game Freak  ,,9.0  ,,15.00,5.87,4.41,3.75,0.97,18 Nov 16  ,Role-Playing
16, Call of Duty: Modern Warfare 3     ,Activision  ,Infinity Ward  ,,8.7  ,,14.82,9.07,4.29,0.13,1.33,08 Nov 11  ,Shooter
17, Mario Kart 7     ,Nintendo  ,Nintendo EAD / Retro Studios  ,,8.2  ,,14.66,5.70,4.98,2.94,1.04,04 Dec 11  ,Racing
18, Call of Duty: Black Ops II     ,Activision  ,Treyarch  ,,,,13.86,8.27,4.32,0.07,1.20,13 Nov 12  ,Shooter
19, Call of Duty: Modern Warfare 2     ,Activision  ,Infinity Ward  ,9.0  ,9.5  ,9.0  ,13.51,8.52,3.63,0.08,1.28,10 Nov 09  ,Shooter
20, Grand Theft Auto III     ,Rockstar Games  ,DMA Design  ,,9.5  ,,13.10,6.99,4.51,0.30,1.30,23 Oct 01  ,Action
21, Pokemon Omega Ruby/Pokemon Alpha Sapphire     ,Nintendo  ,Game Freak  ,,,,12.74,4.73,4.04,3.15,0.81,21 Nov 14  ,Misc
22, Call of Duty: WWII     ,Activision  ,Sledgehammer Games  ,,8.0  ,,12.31,4.36,5.62,0.38,1.95,03 Nov 17  ,
23, Halo 3     ,Microsoft  ,Bungie Software  ,8.8  ,9.6  ,9.5  ,12.13,7.97,2.81,0.13,1.21,25 Sep 07  ,
24, Pok�mon Heart Gold / Soul Silver Version     ,Nintendo  ,Game Freak  ,8.5  ,8.6  ,,11.78,4.34,2.72,3.96,0.76,14 Mar 10  ,Role-Playing
25, Wii Sports     ,Nintendo  ,Nintendo EAD  ,,7.7  ,,82.65,41.36,29.01,3.77,8.51,19 Nov 06  ,Sports
